especificacion,esquema,institucion,bloque,tipo,stat_type,stat,df,p
binaria,importada,FF.AA.,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.550,  1,   0.4584
binaria,importada,FF.AA.,frontera Boomer/X (1964/1965),frontera,chi2,    0.004,  1,   0.9490
binaria,importada,FF.AA.,frontera X/Millennial (1980/1981),frontera,chi2,    0.017,  1,   0.8971
binaria,importada,FF.AA.,frontera Millennial/Z (1996/1997),frontera,chi2,    1.867,  1,   0.1719
binaria,balcells,FF.AA.,frontera plebiscito 1988 (1970/1971),frontera,chi2,    8.698,  1,   0.0032
binaria,balcells,FF.AA.,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    2.273,  1,   0.1317
binaria,teorica,Iglesia,1 (<=1949),dentro-bloque,chi2,    1.628,  1,   0.2020
binaria,teorica,Iglesia,2 (1950-1964),dentro-bloque,chi2,    0.015,  2,   0.9928
binaria,teorica,Iglesia,3 (1965-1979),dentro-bloque,chi2,    1.390,  2,   0.4991
binaria,teorica,Iglesia,4 (1980-1994),dentro-bloque,chi2,    0.726,  2,   0.6955
binaria,teorica,Iglesia,5 (1995+),dentro-bloque,chi2,    7.453,  2,   0.0241
binaria,teorica,Iglesia,frontera 1-2 (1949/1950),frontera,chi2,    0.541,  1,   0.4620
binaria,teorica,Iglesia,frontera 2-3 (1964/1965),frontera,chi2,    0.310,  1,   0.5775
binaria,teorica,Iglesia,frontera 3-4 (1979/1980),frontera,chi2,    0.171,  1,   0.6790
binaria,teorica,Iglesia,frontera 4-5 (1994/1995),frontera,chi2,    0.394,  1,   0.5305
binaria,importada,Iglesia,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    1.097,  1,   0.2948
binaria,importada,Iglesia,frontera Boomer/X (1964/1965),frontera,chi2,    0.339,  1,   0.5602
binaria,importada,Iglesia,frontera X/Millennial (1980/1981),frontera,chi2,    0.351,  1,   0.5538
