inst_id,ame,se,pval,ll,ul
Gobierno,.0652672763921122,.0204948139172446,.0014496663347523,.0250981792444624,.1054363735397619
Parlamento,.0190558894826846,.004608140024821,.000035454214218,.010024100998318,.0280876779670512
Partidos,.0168517895246601,.0045489359376682,.0002117610291299,.0079360389188506,.0257675401304697
FF.AA.,.0550969554969984,.0183259234114826,.0026427088713577,.0191788056270531,.0910151053669437
Iglesia,.0326023719471747,.0148593055056688,.0282303025369224,.0034786683207861,.0617260755735632
