especificacion,institucion,bloque,tipo,stat_type,stat,df,df_r,p
zscore,Parlamento,4 (1980-1994),dentro-bloque,chi2,        .,  2,     .,   0.0578
zscore,Parlamento,5 (1995+),dentro-bloque,chi2,        .,  2,     .,   0.0000
zscore,Parlamento,frontera 1-2 (1949/1950),frontera,chi2,        .,  1,     .,   0.8409
zscore,Parlamento,frontera 2-3 (1964/1965),frontera,chi2,        .,  1,     .,   0.3580
zscore,Parlamento,frontera 3-4 (1979/1980),frontera,chi2,        .,  1,     .,   0.9541
zscore,Parlamento,frontera 4-5 (1994/1995),frontera,chi2,        .,  1,     .,   0.0000
zscore,Partidos,1 (<=1949),dentro-bloque,chi2,        .,  1,     .,   0.1828
zscore,Partidos,2 (1950-1964),dentro-bloque,chi2,        .,  2,     .,   0.1431
zscore,Partidos,3 (1965-1979),dentro-bloque,chi2,        .,  2,     .,   0.0008
zscore,Partidos,4 (1980-1994),dentro-bloque,chi2,        .,  2,     .,   0.4887
zscore,Partidos,5 (1995+),dentro-bloque,chi2,        .,  2,     .,   0.0022
zscore,Partidos,frontera 1-2 (1949/1950),frontera,chi2,        .,  1,     .,   0.1073
zscore,Partidos,frontera 2-3 (1964/1965),frontera,chi2,        .,  1,     .,   0.4884
zscore,Partidos,frontera 3-4 (1979/1980),frontera,chi2,        .,  1,     .,   0.8837
zscore,Partidos,frontera 4-5 (1994/1995),frontera,chi2,        .,  1,     .,   0.0000
zscore,FF.AA.,1 (<=1949),dentro-bloque,chi2,        .,  1,     .,   0.4978
zscore,FF.AA.,2 (1950-1964),dentro-bloque,chi2,        .,  2,     .,   0.6606
zscore,FF.AA.,3 (1965-1979),dentro-bloque,chi2,        .,  2,     .,   0.0122
zscore,FF.AA.,4 (1980-1994),dentro-bloque,chi2,        .,  2,     .,   0.9902
zscore,FF.AA.,5 (1995+),dentro-bloque,chi2,        .,  2,     .,   0.3917
zscore,FF.AA.,frontera 1-2 (1949/1950),frontera,chi2,        .,  1,     .,   0.1383
zscore,FF.AA.,frontera 2-3 (1964/1965),frontera,chi2,        .,  1,     .,   0.7236
zscore,FF.AA.,frontera 3-4 (1979/1980),frontera,chi2,        .,  1,     .,   0.2188
